ANNEE_DOA,DELEGATION,GOUV,INV,PRIMES
2014,المحمدية,بن عروس,447800,51015
2015,سيدي علوان,المهدية,628000,47796
2014,منزل بوزيان,سيدي بوزيد,764948,145161
2014,ملولش,المهدية,695000,82959
2014,الوردانين,المنستير,153700,31328
2014,حاسي الفريد,القصرين,168707,29780
2015,المكنين,المنستير,11744500,847413
2015,بني حسان,المنستير,633000,79733
2015,برج العامري,منــوبة,7592857,767912
2015,حزوة,توزر,83803,19964
2015,نفطة,توزر,1560729,195165
2016,زرمدين,المنستير,179300,17816
2016,قبلي الشما لية,قبلي,698667,133728
2016,كندار,سوسة,293000,18962
2016,جمال,المنستير,1039100,176178
2016,الوردانين,المنستير,163800,16207
2010,واد مليز,جندوبة,285770,41707
2011,هرقلة,سوسة,70000,4566
2010,حي الخضراء,تــونس,2565000,545020
2011,بنبلة,المنستير,396500,37642
2013,سيدي علوان,المهدية,709000,109584
2013,قلعة سنان,الكاف,788200,79531
2015,البئر الأحمر,تطاوين,362451,82251
2015,بو مرداس,المهدية,673000,91737
2016,المنزه,تــونس,33600,3579
2010,المنيهلة,أريانة,62381,5536
2010,الغريبة,صفاقس,32450,8112
2012,سيدي حسين,تــونس,49800,3664
2012,تمغزة,توزر,166167,22380
2015,السيجومي,تــونس,102700,6809
2015,المرناقية,منــوبة,1167648,291141
2011,صيادة لمطة بوحجر,المنستير,66000,9022
2012,مطماطة,قابس,426000,61804
2014,الساحلين,المنستير,109500,9252
2014,ميدون,مدنين,92300,9529
2013,بن عروس,بن عروس,33000,1736
2013,بني خداش,مدنين,372455,98315
2012,الكرم,تــونس,61500,2630
2012,هرقلة,سوسة,101000,6565
2013,باردو,تــونس,4643,535
2016,تونس المدينة,تــونس,57000,6271
2010,غمراسن,تطاوين,1585296,307575
2010,بئر مشارقة,زغوان,11805206,1463467
2010,سيدي عمر بوحجلة,القيروان,1412200,194041
2010,مرناق,بن عروس,12771465,1762954
2010,العروسة,سليانة,734000,127952
2010,بوعرادة,سليانة,476000,97568
2012,منزل بورقيبة,بنزرت,2556996,154449
2010,قليبية,نابل,865193,151942
2010,العا لية,بنزرت,688404,116657
2011,قفصة الجنوبية,قفصة,2151352,448817
2011,تاجروين,الكاف,867600,133195
2010,ساقية سيدي يوسف,الكاف,1642100,240161
2010,قربة,نابل,2207541,262166
2010,حومة السوق,مدنين,536060,74175
2011,الكاف الغربية,الكاف,1361100,202550
2010,قفصة الجنوبية,قفصة,729947,172622
2011,الجريصة,الكاف,1051900,140954
2011,بوعرقوب,نابل,1473964,234753
2011,صفاقس المدينة,صفاقس,7069655,539185
2011,ملولش,المهدية,1181500,121503
2011,طبربة,منــوبة,2356036,316166
2010,الحمامات,نابل,420487,69343
2011,ماجل با لعباس,القصرين,1826287,328891
2011,قبلي الجنوبية,قبلي,1626890,436225
2011,منزل بوزيان,سيدي بوزيد,2435190,498880
2010,ماجل با لعباس,القصرين,366145,103488
2010,الغزالة,بنزرت,1355794,149413
2010,هرقلة,سوسة,4190000,149432
2010,دقاش,توزر,427019,84591
2011,العلا,القيروان,179000,12398
